"","analysis_config_id","name","note","bodies","site_type","cso"
"1",257,"CSO034","","","monitored",TRUE
"2",258,"CSO035","","","monitored",TRUE
"3",259,"CSO007","","","monitored",TRUE
"4",260,"CSO033","","","monitored",FALSE
"5",261,"CSO004","","","monitored",TRUE
"6",262,"CSO005","","","monitored",TRUE
"7",263,"CSO009","","","monitored",FALSE
"8",264,"CSO010","","","monitored",FALSE
"9",265,"CSO011","","","monitored",TRUE
"10",266,"CSO012","","","monitored",TRUE
"11",267,"CSO014","","","monitored",TRUE
"12",268,"CSO015","","","monitored",TRUE
"13",269,"CSO016","","","monitored",FALSE
"14",270,"CSO017","","","monitored",TRUE
"15",271,"CSO018","","","monitored",FALSE
"16",272,"CSO019","","","monitored",FALSE
"17",273,"CSO020","","","monitored",FALSE
"18",274,"CSO021","","","monitored",TRUE
"19",275,"CSO024","","","monitored",TRUE
"20",276,"CSO025","","","monitored",TRUE
"21",277,"CSO026","","","monitored",TRUE
"22",278,"CSO031","","","monitored",TRUE
"23",279,"CSO039","","","monitored",TRUE
"24",280,"CSO040","","","monitored",TRUE
"25",281,"CSO006","","","monitored",TRUE
